flow_uuid,flow_name_zh,flow_name_en,flow_type,default_unit,unit_group,compartment,updated_at
eca48ea8-ab83-444f-98b2-15ab82570c80,玻璃瓶罐,Glass Jar,Product flow,kg,Units of mass,Materials production;Glass and ceramics,2024-01-03T16:03:41.160554+08:00
eca91085-1930-4356-ba86-13414bc7f37c,农作物种植业 - CN,Crop cultivation Sectors - CN,Product flow,EUR,Units of currency 2000,Other Services;Sale and whole sale,2024-01-03T16:37:25.862688+08:00
ece02cbb-5a12-4ecd-91c8-23981c561928,科技推广和应用服务行业 - CN,Science & technology  promotion and application services Sectors - CN,Product flow,EUR,Units of currency 2000,Other Services;Sale and whole sale,2024-01-03T16:37:25.991780+08:00
ed4f0436-d0df-4229-a1a4-95f2537d2cf6,丙烯酸丁酯,Butyl Acrylate,Product flow,kg,Units of mass,Materials production;Organic chemicals,2024-01-03T16:03:40.662480+08:00
ed56d545-29d2-4322-8e73-d059f0733d04,铝粉,Aluminum powder,Product flow,m3,Units of volume,Materials production;Metals and semimetals,2024-04-16T19:00:22.932745+08:00
ed5b166c-85a3-452b-9157-54543b58d0b7,煤沥青,Coal Pitch,Product flow,m3,Units of volume,Energy carriers and technologies;Hard coal based fuels,2024-04-16T19:00:22.806740+08:00
ed60d109-7ca7-424b-a634-1bf3ae4a8017,磷酸三丁酯,Tributyl phosphate,Product flow,kg,Units of mass,Materials production;Organic chemicals,2024-04-16T19:00:21.226537+08:00
ed7149d7-9a1d-425a-81f0-1e3ce27067c4,铁锂极片,Iron Lithium Pole Piece,Product flow,kg,Units of mass,End-of-life treatment;Material recycling,2024-04-16T19:00:21.834710+08:00
ed7f922b-86f2-44d7-b071-6ebed772a41f,正极材料,Cathode Material,Product flow,kg,Units of mass,Materials production;Other materials,2024-04-16T19:00:22.001187+08:00
eda423f5-29ef-4785-a688-d64da4346de1,石油,Petroleum,Product flow,kg,Units of mass,Energy carriers and technologies;Crude oil based fuels,2024-04-16T19:00:21.111122+08:00
eda47ddc-127c-400d-9824-dcc7b4c3e118,钢铁废碎料、废塑料、废玻璃、废线路板,Scrap Steel,Product flow,kg,Units of mass,Materials production;Metals and semimetals,2024-01-03T16:03:41.558964+08:00
edcfa83a-363a-4b2d-8d6a-612e32dfcdfc,氯化钠，粉末,"Sodium chloride, powder",Product flow,m3,Units of volume,Materials production;Inorganic chemicals,2024-04-16T19:00:22.954279+08:00
ede5b226-74c2-43d3-a09b-adac99249a77,化学品（未指明）,Chemicals (unspecified),Product flow,kg,Units of mass,Wastes;Production residues,1998-05-01T00:00:00+01:00
eded271d-e9b0-410b-ab3c-0a237f5036fe,其他特种玻璃,Special Glass,Product flow,kg,Units of mass,Materials production;Glass and ceramics,2024-01-03T16:03:40.822952+08:00
ee02053e-d843-4e4b-a1d5-4133936cf36e,脱氧剂,Deoxidizer,Product flow,kg,Units of mass,Materials production;Raw materials,2024-04-16T19:00:21.461685+08:00
ee0622ae-f4e6-4606-a16a-34e9dcd3870f,废帘线,Waste cord thread,Product flow,kg,Units of mass,Wastes;Production residues,2024-04-16T19:00:22.542460+08:00
ee0c73d2-4e53-4c1e-83ec-09f4efe373fc,皂洗剂,Soap Detergent,Product flow,kg,Units of mass,Materials production;Other materials,2024-04-16T19:00:22.594080+08:00
ee3cdeee-2eb2-4d77-92e7-a0a0fea6d860,"钢铁生产废物, 未指明",waste from steelproduction (unspecified),Waste flow,kg,Units of mass,Wastes;Production residues,2012-01-20T10:26:17+01:00
